Institution Index,Institution,Last Name,Mid Name,First Name,Ph.D. Graduation Year,Ph.D. Graduate School,Research Interest,H-index,Citations,Publications,Publications Divided by Co-authors,Remarks,Collector,,,,,,,
515,University of Wisconsin - Madison,Swift,M.,Michael,2006,University of Washington,Computer architecture,48,10509,27,7.7,M.δ�ҵ�ȫ��,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Tzamos,,Christos,,Massachusetts Institute of Technology,"Algorithms & complexity,Economics & computation",14,821,21,7.4,phd��ѧ���δ�ҵ�?Wei Ren,,,,,,,,
515,University of Wisconsin - Madison,Venkataraman,,Shivaram,2017,University of California - Berkeley,"Operating systems,Computer networks",26,5745,13,2.4,,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Wahba,Goldsmith,Grace,1966,Stanford University,Machine learning & data mining,73,49615,5,1,,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Wright,J.,Stephen,,,Machine learning & data mining,61,58494,10,3.5,δ�鵽phd��ϢJ.δ�ҵ�ȫ��,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Yu,,Xiangyao,2017,Massachusetts Institute of Technology,"Databases,Computer architecture",16,1790,13,2.8,,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Zhu,,Xiaojin,2005,Carnegie Mellon University,"Machine learning & data mining,Artificial intelligence",58,23979,52,16.5,0001 ignored,Xiao Han,,,,,,,
511,University of Washington,Althoff,,Tim,2018,Stanford University,The Web & information retrieval,15,1639,10,2.8,,Xuzheng He,,,,,,,
511,University of Washington,Anderson,J.,Richard,1985,Stanford University,Human-computer interaction,62,19503,16,5.4,Mid name is abbreviated,Xuzheng He,,,,,,,
511,University of Washington,Anderson,Edward,Thomas,1991,University of Washington,Computer networks,92,51284,66,14.4,,Shaohua Yue,,,,,,,
511,University of Washington,Aragon,Rodriguez,Cecilia,2004,University of California - Berkeley,Human-computer interaction,36,7593,6,2.1,,Xuzheng He,,,,,,,
511,University of Washington,Balazinska,,Magdalena,2006,Massachusetts Institute of Technology,Databases,58,14288,32,9,,Yewei Li,,,,,,,
511,University of Washington,Beame,,Paul,1987,University of Toronto,Algorithms & complexity,42,6776,37,14.3,,Yewei Li,,,,,,,
511,University of Washington,Bilmes,Adam,Jeff,1999,University of California - Berkeley,Machine learning & data mining,65,30021,68,23.9,,Shaohua Yue,,,,,,,
511,University of Washington,Bodík,,Rastislav,1999,University of Pittsburgh,Programming languages,47,13103,42,13,,Shaohua Yue,,,,,,,
511,University of Washington,Boots,,Byron,2012,Carnegie Mellon University,"Robotics,Machine learning & data mining",30,3053,49,13.2,,Shaohua Yue,,,,,,,
511,University of Washington,Borning,,Alan,1979,Stanford University,Human-computer interaction,48,8815,11,3.6,H-index and citations are from semanticscholar.org,Xuzheng He,,,,,,,
511,University of Washington,cakmak,,maya,2012,Georgia Institute of Technology,Robotics,33,4106,23,7.2,,Yewei Li,,,,,,,
511,University of Washington,Ceze,,Luis,2007,University of Illinois at Urbana-Champaign,Computer architecture,48,11327,43,9.6,,Shaohua Yue,,,,,,,
511,University of Washington,Choi,,Yejin,2010,Cornell University,Natural language processing,48,11019,70,16.7,,Shaohua Yue,,,,,,,
511,University of Washington,Curless,,Brian,1997,Stanford University,"Computer vision,Computer graphics",57,29696,52,13.3,,Shaohua Yue,,,,,,,
511,University of Washington,Dey,K.,Anind,2000,Georgia Institute of Technology,Human-computer interaction,74,44111,73,20.1,Mid name is abbreviation,Shaohua Yue,,,,,,,
511,University of Washington,Findlater,,Leah,2009,University of British Columbia,Human-computer interaction,33,6148,33,9.2,,Yewei Li,,,,,,,
511,University of Washington,Fogarty,,James,2006,Carnegie Mellon University,Human-computer interaction,49,7158,52,13.5,,Shaohua Yue,,,,,,,
511,University of Washington,Froehlich,,Jon,2011,University of Washington,Human-computer interaction,39,9507,37,7.8,,Yewei Li,,,,,,,
511,University of Washington,Gharan,Oveis,Shayan,2013,Stanford University,Algorithms & complexity,21,1977,24,8.4,,Yewei Li,,,,,,,
511,University of Washington,Gollakota,,Shyamnath,2013,Massachusetts Institute of Technology,"Computer networks,Mobile computing,Human-computer interaction",40,8096,40,10.9,,Yewei Li,,,,,,,
511,University of Washington,Grossman,,Dan,2002,Cornell University,Programming languages,39,7975,24,6.4,,Yewei Li,,,,,,,
511,University of Washington,Hajishirzi,,Hannaneh,2011,University of Illinois at Urbana-Champaign,Natural language processing,29,3540,42,10.8,,Yewei Li,,,,,,,
511,University of Washington,Heer,Michael,Jeffrey,2008,University of California - Berkeley,"Human-computer interaction,Visualization",69,20855,59,19.3,,Shaohua Yue,,,,,,,
511,University of Washington,Henry,M.,Levy,1981,University of Washington,"Computer architecture,Operating systems",77,27500,46,12.4,His highest education degree is master of science and his mid name is abbreviation,Shaohua Yue,,,,,,,
511,University of Washington,Hiniker,,Alexis,2017,University of Washington,Human-computer interaction,14,807,19,4.3,,Xuzheng He,,,,,,,
511,University of Washington,Hsieh,,Gary,2010,Carnegie Mellon University,Human-computer interaction,25,2625,17,4.9,,Xuzheng He,,,,,,,
511,University of Washington,Jacob,O.,Wobbrock,2006,Carnegie Mellon University,Human-computer interaction,63,15493,49,15.8,Mid name is abbreviation,Shaohua Yue,,,,,,,
511,University of Washington,Just,,Rene,2013,University of Ulm,Software engineering,20,2231,5,0.8,,Xuzheng He,,,,,,,
511,University of Washington,Kakade,Machandranath,Sham,2003,University College London,Machine learning & data mining,67,18035,63,20.2,,Shaohua Yue,,,,,,,
511,University of Washington,Karlin,R.,Anna,1987,Stanford University,Algorithms & complexity,48,14276,51,14.6,Mid name is abbreviation,Shaohua Yue,,,,,,,
511,University of Washington,Kemelmacher-Shlizerman,,Ira,2009,Weizmann Institute of Science,Computer vision,26,3500,22,8.7,,Yewei Li,,,,,,,
511,University of Washington,Kientz,A.,Julie,2008,Georgia Institute of Technology,Human-computer interaction,44,7084,40,8.5,mid name not found,Yewei Li,,,,,,,
511,University of Washington,Ko,J.,Amy,2008,Carnegie Mellon University,Human-computer interaction,41,7406,27,8.7,mid name not found,Yewei Li,,,,,,,
511,University of Washington,Kohno,,Tadayoshi,2006,University of California - San Diego,Computer security,62,19302,50,13.7,,Shaohua Yue,,,,,,,
511,University of Washington,Krishnamurthy,,Arvind,1999,University of California - Berkeley,Computer networks,69,17135,80,15.2,,Shaohua Yue,,,,,,,
511,University of Washington,Lazowska,D.,Edward,1977,University of Toronto,,56,15230,20,6.9,Mid name is abbreviated; Research interests not given,Xuzheng He,,,,,,,
511,University of Washington,Lee,R.,James,2005,University of California - Berkeley,Algorithms & complexity,27,20980,30,12.3,mid name not found,Yewei Li,,,,,,,
